;text;option_1;option_2;option_3;option_4;rating
q38423;What do you usually wear when you sleep?;Pajamas.;Underwear.;Nothing.;Something else.;
q9522;Would you date someone who has never been in any kind of relationship before?;Yes;No;;;
q48328;Do you believe that money can buy happiness?;Yes.;No.;;;
q60308;Say you're with someone you really care about, and they reveal their deepest, darkest secret. Which of the following would be most likely to scare you away?;A sexual fetish.;A bad temper.;A mild mental illness.;A history of bad credit.;
q5764;Sharing a toothbrush with your partner is:;Utterly disgusting;Okay, sometimes;A sign of closeness;;
q32657;Would you develop a new hobby/cultivate a new interest just to have something in common with your partner?;Sure, it's good to do stuff together;No, we should maintain our own identities;Maybe, but only if it seemed cool;;
q88;How messy are you?;I'm very messy;I'm average;I'm mostly organized;I'm compulsively neat;
q29389;I talk about my previous relationships:;All the time;Occasionally;Almost never, unless explicitly asked about them.;Never, even if explicitly asked about them.;
q1122;How often do you use profane language?;Never;Once in a while;Often;Almost always;
q20240;What is worse, being poor or alone?;Poor;Alone;;;
q48981;Consider the recent fictional movies you have watched.  Which of the following aspects do you find most disturbing?;Sex.;Violence.;Racial or cultural stereotyping.;None of the above disturbs me.;
q986;Do you believe in an afterlife/life after death/resurrection?;Yes;No;I'm Not Sure;;
q6347;Do you believe in miracles?;Yes;No;;;
q45598;Do you enjoy provoking people just to get a response.;Often.;Sometimes.;Never.;;
q294;Which is more important for a good match?;Having similar political beliefs;Having good sex;;;
q31983;Star Wars or Star Trek?;Star Wars;Star Trek;I can't decide.;Neither!;
q31488;If you were dating somebody that you met online, would you be reluctant to tell your friends?;Yes, I would be reluctant.;No, not at all.;A little, but I would be honest with them.;;
q71315;Do you like to leave music on while you sleep?;Yes.  I can't sleep without it.;Yes, but I don't need it to fall asleep.;No, but I can deal with it if my partner does.;No.  I can't sleep with music on.;
q234;Does fashion matter to you?;A lot;A little;Not at all;;
q26582;Would you ever eat something out of the trash?;Yes;Maybe (if it's still good);No;;
q39;Would you let your children under 13 watch movies with full nudity?;Yes;No;;;
q124;Do you work out a lot?;Yes;No;;;
q30830;Would you do something outrageous, stupid or adventurous simply because it would make a good story to tell later? (Assume there would be no serious consequences to your actions.);Yes, whenever possible.;Yes, but nothing too crazy.;Maybe, depends on what and who with.;No, and please don't run with scissors.;
q1375;Are geeks sexy?;Yes;No;;;
q7060;Are politics interesting?;Yes;No;Sometimes;;
q46780;Do you leave the lights on after leaving a room when they are no longer necessary?;Always - I don't think about turning lights off.;Usually - This isn't very important.;Sometimes - I try to save energy but do forget.;Rarely or never - That would be wasteful.;
q26405;Is it easy for you to achieve orgasm?;Yes, with skill and sometimes patience;Yes, any time the wind picks up;No, and I find it somewhat frustrating;No, but don't worry, I'm enjoying myself;
q33170;If/when you have NO pressing obligations (employment, schooling, children, errands, bedtime, or other factors aside), at what time do you prefer to get up in the morning?;Early bird gets the worm! I'm up before the sun!;Pretty Early (6:00ish - 9:30ish AM);I like to sleep in a bit. (9:30ish AM - Noonish);Morning? Curse that AM light! (afternoon or dark);
q41099;Right this minute, how clean is your main personal bathroom, (say the one you use every morning when you wake up in your own bed)?;Spotless, shiny, germ-free, clean clean clean.;Clean-ish but could use a quick touch-up.;Not awful, but it could use a good cleaning.;Disgusting! even I cringe when I have to use it!;
q6499;If I saw someone checking out my significant other, I'd feel:;flattered / proud;protective / concerned;unchanged;;
q38223;Do you like to go clubbing?;Yes, I prefer to go alone.;Yes, I prefer to go with a date.;Yes, I prefer to go with friends.;No.  I do not like to go clubbing.;
q76;Are you a morning person?;Yes;No;;;
q38051;How often do you gamble?;Often.;Rarely.;Never.;;
q82528;If you had your own private hot tub, would you go nude in it?;Yes, always.;Yes, but only when alone or with someone special.;Yes, but only when alone.;No, never.;
q40570;Is it more important to you that you are tactful, or truthful?;Tactful;Truthful;;;
q40288;How trusting are you where it concerns your government?;Completely.;Somewhat.;Not at all.;;
q13086;Would you date a single parent?;Yes;No;;;
q26299;What haircolor, or shade, do you prefer?;Dark (Black, Brown, Auburn);Light (Blonde, Light Brown, Red);Other (Neon, Obviously Dyed);I have no preference;
q665;Are you fetish-friendly?;Bring out the toys!;Never tried it, but I'm open-minded.;Not sure/don't know what they really are.;Ew!;
q156918;Do you practice Hinduism?;Yes;No;;;
q43304;Do you get angry when you lose a game?;Usually;Sometimes;Never;;
q40944;Do you have a checklist of mandatory traits that you absolutely require in any significant other?;Yes.;No.;;;
q86184;Do you keep your sexual exploits private?;Yes, always.;No, I am an open book.;Sometimes.;;
q24333;Are you squeamish about sharing food or beverages with the person you're dating?;Yes;No;Only at first;;
q44354;Do you enjoy long camping trips? (longer than 3 nights);I don't like to camp.;I've never camped, but would like to.;I like to camp, but not long trips.;I love long camping trips.;
q28754;How long do you believe people need to be in a relationship before before getting married?;At least 2 years;At least 1 year;At least 6 months;Less than 6 months / no requirement;
q48947;Is intoxication ever an acceptable excuse for acting stupid?;Yes.;No.;;;
q12584;Do you enjoy exercise?;Yes;No;;;
q24684;Do you carry condoms?;Always;Sometimes;Rarely;Never;
q36790;Let's say you are in line at a grocery store and have many items.  The person behind you just has only one or two.  Do you offer to let them go ahead of you?;Yes.  Always.;Yes, unless I am otherwise in a hurry.;No.  Never.;;
q2457;Does spending Friday or Saturday night at home annoy you?;Yes;No;;;
q30271;Does silence make you uncomfortable?;Yes;No;Depends on the situation;;
q12503;How often should your significant other buy you gifts, jewelry, or other things more expensive than, say, dinner, cards, or flowers?;Very frequently.;From time to time.;On special occasions (birthdays, Christmas, etc.).;Never.;
q32855;Underarms can be a hairy subject. How do you maintain your pits?;I let it grow, wild & free!;Occasionally I'll trim.;I shave consistently.;Whatever I feel like at the time.;
q44595;Tattoos on a woman's lower back area:;Sexy;Okay;Tramp stamps;Something I have no opinion on;
q25561;Does it bother you when people say 'PIN number' or 'ATM machine'?;Yes!;Well, a little;Nope, but I see why you're asking;Why would it?;
q19681;Are some sex acts with consenting adults inherently wrong or immoral?  Assume no unusual risk of injury.;Yes;No;;;
q307;Do you like wild parties?;Yes;No;;;
q82263;Would being in the same room with a couple of friends who are having sex bother you?;Yes.;No.;;;
q27672;Commitment to personal growth is:;For wimps.;Critically important.;Sort of important;;
q30384;How often do you wash your dishes?;As I use them.;Daily.;When I run out of clean utensils.;When the sink starts to smell funny.;
q73;Would you rather live in the big city or a small town?;Big city;Small town;;;
q156915;Are you a Buddhist?;Yes;No;;;
q86544;Which of the following has the biggest influence on your behavior?;Reason, Observation, Empiricism, Trial-And-Error.;Tradition, Faith, Upbringing, Heritage.;Emotion, Intuition, Instinct.;;
q82681;If I had to choose among the following for an ideal romantic partner, I'd choose:;Someone attractive and kind.;Someone smart and kind.;Someone attractive and smart.;;
q20818;Once you take a moral position, can anything be said or done to change your mind?;Yes, life is a big gray area anyway.;No, some things are just Right or Wrong.;Maybe. It depends on the issue.;Maybe, but it would take a lot.;
q213;Are some human lives worth more than others?;Yes;No;;;
q50755;Do you believe that everything happens for a reason?;Yes.;No.;;;
q18979;If you found out your partner was cheating on you, would you cheat on them in revenge?;Yes, they have it coming!;No, I'd confront them.;No, I'd dump them on the spot.;Maybe, if one of their friends is cute.;
q15742;How much do other people's opinions of you influence your decisions?;A lot;Some;Very little;Not at all;
q321556;How often do you masturbate?;Once a day or more;A few times a week;A few times a month;A few times a year or less;
q23132;Do you like to play drinking games?;Yes, they're totally sweet!;No, I think they're cheesy/lame;Not really, but I will on occasion;No, I don't drink;
q21793;How often do you try new things (food, activities, music, whatever) that you've never tried before?;Several times per week, or more.;Several times per month.;Several times per year.;Rarely or never.;
q34333;Which do you prefer in a significant other, generally speaking?;Dominance/Aggression;Submission/Shyness;A little of both, depending on the situation;;
q68401;Could you fall in love with someone you have only talked to online?;Yes.;No.;;;
q637;Have you ever had sex in a place where there was a high risk of being caught?;Yes;No, but it sounds like fun;No, I don't think I could do it;;
q16317;Would you ever date someone that is HIV positive?;Yes;No;I don't know;;
q75677;Which of the following character flaws would you be LEAST tolerant of in a potential partner?;Moodiness.;Dependency.;Jealousy.;Apathy.;
q309;Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.);Yes;No;;;
q35276;How much communication is ideal during sex?;A lot! It's all about the talk.;Just enough to get things right.;None. Shut up so I can concentrate.;;
q1173;Are you more attracted to virgins?;Yes;No;I AM a virgin;;
q83184;If your partner made a lot of noise while enjoying sex, would this be a turn-on or turn-off for you?;Turn on.;Turn off.;Either, depending upon how they sound.;It would make no difference.;
q1040;Receiving anal sex?;I like it / I think I might like it;I don't like it / I don't think I would like it;;;
q9628;Biting?;No;Yes;Let's break skin;;
q66827;During a romantic evening at your significant others' house, he or she puts on a slow song and asks you to dance. How would you respond?;Very romantic! I'm up for it!;I think its corny, but I'll do it anyway!;Not my kinda thing.;I'm not sure.;
q60901;If you were really, really drunk, which of the following would you be more likely to do?;Kiss someone.;Hit someone.;Complain to someone.;I'm not sure / I've never been really drunk.;
q6722;Which best describes your personal feelings about sports?;Sports are a very important part of my life.;I play or watch sports often.;I play or watch sports occasionally.;I don't watch or play sports.;
q463;In your ideal sexual encounter, do you take control, or do they?;I take control;They take control;;;
q52728;Which of these four is sexiest?;Someone who is good with language(s).;Someone who is logical or mathematical.;Someone who is physically skilled.;Someone who is musically skilled.;
q6867;Would you enjoy a night in playing video games?;Yes;No;;;
q1133;Do you have rape fantasies?;Yes;No;;;
q82566;Do you like coffee?;Yes.  I need it to function.;Yes, but I can do without it.;No.;;
q35475;When in a relationship, what importance do you place upon celebrating weekly or monthly anniversaries?;High.;Moderate.;Low.;None.;
q26720;How much do you spend per year for shoes?;Less than $100;$101 - $ 500;$501- $1000;More than a $1000;
q1049;Would you prefer the lights on or off during sex?;On;Off;It's exactly the same to me;;
q17457;Have you ever spent more than 8 hours straight playing video games?;Yes;No.;Anyone who does is a loser.;;
q48325;How important are academic achievements to you?;Very important.;Somewhat important.;Not important.;;
q21754;What is your opinion concerning strip clubs?;I would be there every day of the week if I could.;They can be fun every once and a while.;I do not really have an opinion/never been to one.;They're gross/disgusting/insulting/other.;
q153;Pick the best date on this list:;A really nice restaurant;A really divey bar;A day at the beach;;
q1172;Do you own any dice with more than six sides?;Yes;No;;;
q28545;When having sex, do you like to have your hair pulled?;Yes, and hard!;Yes, but gently.;No way.;Don't know / Not sure.;
q86909;Are you generally able to forgive and forget?;Yes.;No.;It really depends on the circumstances.;I can forgive, but I never forget.;
q220;Do you like to watch sports on television?;Yes;No;;;
q18212;How much do you usually tip a server who did a fine job?;Around 10% or less;10-15%;15-20%;Over 20%;
q15037;If someone asked you, 'What's the worst thing you've ever done?' would you know the answer right away?;Yes;No;;;
q30607;Is it okay to answer your cell phone while out with a friend or on a date?;Of course. Why wouldn't it be?;Friend, yes. Date, no.;No, that's just rude.;;
q27243;I find myself in fights with authority figures...;Often;Rarely / never;;;
q86417;How long can you go without sexual release?;A day or less.;More than a day, less than a week.;More than a week.;I have never had sexual release.;
q44384;Which best represents your opinion of same-sex relationships?;Girl-on-girl is okay, but guy-on-guy is wrong.;Guy-on-guy is okay, but girl-on-girl is wrong.;All same-sex relationships are wrong.;It's all fine by me.;
q30903;If you're in a relationship you expect will last for the rest of your life, is it important to you that it be the most satisfying sexual relationship you have ever had?;Yes;No;;;
q7077;Which is better: sex without sleeping together or sleeping together without sex?;Sex;Sleeping;;;
q11;How does the idea of being slapped hard in the face during sex make you feel?;Horrified;Aroused;Nostalgic;Indifferent;
q19075;Would you date someone who doesn't own a car?;Yes;No;;;
q15372;Could you date someone who has strong political opinions that are the exact opposite of yours?;Yes;No;;;
q1446;Do you care about other people's suffering?;Yes, solidarity is important;No, everyone has their own responsibility;It depends on the kind of suffering;;
q45006;Imagine you have a significant other who reveals they have a video of a sexual encounter from a prior relationship and offers to show it to you.  Would you want to see it?;Yes.;No.;;;
q81307;Have you ever had sex with a person within the first hour of meeting them?;Yes.;No.;;;
q1712;How shy would you say you are?;Very shy;Kind of shy;Not really shy;Not at all shy;
q106;Have you ever been married?;Yes;No;;;
q19392;Have you ever written something on the wall of a public toilet?;Yes;No;;;
q20981;Genital piercings:;Make me hot;Ouch, no thanks.;No opinion / Not sure;;
q38767;Is it okay for men to wear makeup?;Yes;No;;;
q30207;Is love overrated?;Yes, absolutely.;Yes, a bit.;No, it's fine.;No, it's underrated.;
q44;Some religions are more correct than others.;True;False;;;
q56606;How interested would you be in knowing the details of a partner's sexual history?;Very interested.;Somewhat interested.;Not interested.;;
q33602;Do you attempt to conserve water, energy or other resources during your everyday life?;Yes, almost always;Sometimes;No, I don't care;No, it's my right to waste as much as I want;
q48347;Do you think you could ever enjoy being humiliated as part of a sexual experience?;Yes;No;;;
q31374;Have you ever tried any sexual roleplaying, such as student/teacher or patient/nurse?;All the time. It really turns me on!;Yes, on occasion. I have to be in the mood.;No, but it sounds interesting.;No, and it isn't going to happen. Ever.;
q58812;Would you consider roleplaying out a rape fantasy with partner who asked you to?;Yes.;No.;;;
q275;Are you a virgin?;Yes;No;;;
q26573;Do you like going to poetry readings?;Yes;Sometimes;Occasionally / I'd try it;No;
q395;Is it okay for a girl to talk openly about her sexual exploits?;Yes;No;;;
q338;How does your maturity level compare with most people your age?;I'm more mature;I'm average;I'm less mature;;
q57717;Do you feel that having sex with someone you have known less than one year would be too soon?;Yes.;No.;;;
q69186;Can you remember the names of everyone you've ever had sex with?;Yes.;No.;I've never had sex with anyone.;;
q265;Who do you think was smartest on this list?;Einstein;Shakespeare;Mozart;Jesus;
q18843;Are you a good liar?;Yes;No;;;
q16862;Beards: cool or ugly?;Cool;Ugly;Depends;;
q67821;Would it bother you if your partner kept pictures of previous partner(s)?;Yes.;No.;;;
q531;Would you rather play Scrabble, go out dancing, or get drunk?;Scrabble;Dancing;Booze;;
q49107;Which of the following would you rather discuss with someone you just met?;Musical preferences.;Political beliefs.;Philosophical beliefs.;Sports.;
q20778;You're up against a nearly impossible challenge. Your ideal partner:;pushes you hard to succeed;reminds you to be realistic;stands back, but comforts you if you fail;;
q19854;Are sex and intimacy the same thing?;Yes;No;;;
q23147;Imagine you're having the perfect conversation with your ideal partner.  What are you doing?;Telling stories;Debating;Agreeing;Making plans;
q18594;Do superficial people, who place a high emphasis on physical appearance, annoy you?;Yes;No;Sometimes;;
q34094;Do you believe a couple should live together before considering marriage?;Yes;No;;;
q35862;When you are sleeping, do you prefer:;A cold room;A cool room;A warm room;A hot room;
q60756;If your partner wanted you to say a specific phrase during sex, would you?;Yes, I'd say anything they want me to.;No, I wouldn't.;Maybe, it would depend upon the phrase.;;
q1730;Do you enjoy Rap/Hip-Hop?;Yes;No;Some;;
q26525;Can overweight people still be sexy?;Always;Yes;No;;
q21488;Do you pick up after yourself? Be honest.;Always.;Yeah, when I have the time.;No, I live in filth.;No, my mom/roommate/partner mostly does it for me.;
q1588;Do you like cats?  Would you consider owning a cat as a pet?;Yes, I would love (or do own) a cat.;I'm not too into them, but I wouldn't mind one.;No, I dislike cats.;I like them, but I'm allergic.;
q9447;Which would do more to improve the world?;Fewer stupid people;Fewer ugly people;This question upsets me;;
q1119;Does your partner have to be an active reader?;Yes;No;;;
q28831;On weekends / days off, do you like to get out and make the most of the day, or do you prefer to sleep late and relax?;Get up and do something;Sleep late and relax;It varies;;
q15414;Have you used psychedelic drugs (LSD, mescaline, peyote, etc.) or would you like to?;Yes, I have used psychedelic drugs.;No, I have not used them and I would not try them.;No, I have not used them but I would try them.;;
q18504;Do you have a dark and morbid sense of humor?;Yes;No;Occasionally;;
q28;Would you dump someone simply because they weren't good at sex?;Yes;No;;;
q18609;Can you cook?;Yes, I'm a culinary genius.;Yes, with a cook book.;No, but I try.;No, there's always fast food.;
q78;Generally, do you enjoy being drunk?;Yes;No;I don't know, because I've never been drunk.;;
q226;Which would you rather lose?;the right to bear arms;the right to vote;;;
q6350;How would you describe your body?;Slender;Average;Athletic;Voluptuous;
q29;Would you rather:;be tied up during sex;do the tying;avoid bondage all together;;
q63010;Do you have names planned out for future children?;Yes.;No.;No, and I'm not planning on any future children.;;
q20530;When chatting with a potential friend/significant other online, is use of proper grammar and spelling important to you?;Yes;No;;;
q83480;Which pubic hair style do you prefer for a partner?;Natural.;Neatly trimmed.;Completely shaven.;It doesn't matter.;
q48953;If you were visiting a new city, where would you be most excited to go?;Tourist attractions or entertainment venues.;Historically or culturally important places.;Places popular with the locals.;Home.;
q20212;Do you feel guilty or bad after having sex?;Always;Sometimes;Never;I'm still a virgin.;
q67641;How important to you is being with family during holidays?;Very important.;Somewhat important.;Not important.;I have no family.;
q23293;If you had to pick one of the following types of people for a significant other, which would it be?;Wholesome;A little on the slutty side;Crazy and colorful;Dark and mysterious;
q53965;If you discovered a spider on the wall in your bedroom, which would you do?;Ignore it.;Kill it.;Catch it and put it outside.;Find someone else to deal with it.;
q114;Is it okay to live with someone you're dating, even before you're engaged or married?;Yes;No;;;
q21527;Do you feel there are any circumstances in which a person is obligated to have sex with you?;Yes;No;;;
q46856;Do you prefer the people in your life to be simple or complex?;Simple;Complex;;;
q19815;Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?;Yes, I wouldn't be able to tolerate that.;Somewhat, but it's their life.;No, I don't mind.;;
q21;Do you enjoy meaningless sex?;Yes;No;;;
q105;Do you have a child or children?;Yes;No;;;
q963;Is foreplay necessary for good sex?;Yes;No;;;
q14;Is a guy who's slept with 100 girls a bad person?;Yes;No;;;
q13054;What do you think of laws that make smoking illegal in bars and restaurants?;I support the laws;I oppose the laws;;;
q61281;How often do you 'take it out' on other people when you're having a bad day?;Always.;Frequently.;Occasionally.;Never.;
q47764;Do you think it is possible for someone to be an Atheist and still have a solid moral framework by which to live?;Yes.;No.;;;
q5417;Would you date someone who still lives with his/her parents?;Yes;No;;;
q27239;It's your first date with someone you recently met. At the end she/he says 'I think I love you.';Scary;Sweet;;;
q27164;Do you believe that men should be the heads of their households?;Yes;No;;;
q18692;Do you have an ex that you would really like to date again?;Yes;No;;;
q323;How confident are you in your sexual abilities?;Super confident;Confident;Not really confident;;
q491;What would be more likely to bother you in a relationship?;Not enough space;Not enough affection;;;
q31055;Would you date someone who kept a gun in the house?;Yes;No;;;
q25114;Which event sounds most appealing?;Sci-Fi Convention;Political Convention;Music Festival;New Years Eve in Times Square;
q15280;Could you date someone with no long-term goals?;Yes;No;;;
q887;Do you enjoy crude humor, dirty jokes, and the like?;Yes, and I often try to push the boundaries!;Usually, yes.;Not in most cases, no.;Absolutely not at all.;
q9379;Would you ever date or mess around with a good friend's ex?;Yes, why not?;No;Yes, but only with my friend's permission;;
q274;What's the highest level of education you've completed?;Graduate School;College;High School;Junior High;
q21175;Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.;Yes;No;I find learning boring;;
q34113;How do you feel about government-subsidized food programs (free lunch, food stamps, etc.)?;No problem;It's okay, if it is not abused;Okay for short amounts of time;Never - Get a job;
q15752;How important is voting to you?;Extremely important;Very important;Not so important;Not at all important;
q8865;Are you currently employed?;Yes, I have a fulltime job;No;Part time;I'm a student;
q39373;How often do you do things out of spite?;Very often.;Sometimes.;Rarely.;Never.;
q81;How much do you go 'clubbing' (out dancing in bars)?;Lots;Sometimes;Rarely;Never;
q30;Would you like to receive pain during sex?;Yes, lots and lots;Yes, some;No;;
q83646;Would you consider living with a partner who does not want any pets?;Yes.;No.;;;
q41393;In a potential mate, is ditzyness a turn-on or a turn-off?;Turn-on. I find scatterbrained people cute.;Turn-off. I find easily-confused types annoying.;I'm neutral / it depends on their other traits.;;
q1132;Would you ever consider cutting a partner (who asked for it) in sexual play?;Yes;Maybe;No;;
q156914;Are you Jewish?;Yes;No;;;
q26841;How frequently do you go out of your way to make others feel appreciated?;Way more than average;About average;Less than average / Never;;
q341;Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?;Yes;No;;;
q71;Is interracial marriage a bad idea?;Yes;No;;;
q1112;Do you like the taste of beer?;Yes;No;;;
q13;Is a girl who's slept with 100 guys a bad person?;Yes;No;;;
q30416;'Your a bitch!' What bothers you more about the above sentence?;The profanity;The grammar;They both bother me equally;Neither one bothers me;
q72086;If your partner needed lovemaking to always be gentle, would you be fine with this?;Yes.;No.;;;
q32;Group sex (with 3 or more people):;I have tried it.;It seriously interests me.;I have little or no interest.;;
q60852;Do you believe that regular sex is necessary in maintaining a healthy relationship?;Yes;No;;;
q411;Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?;Yes;No;Unsure;;
q6258;Would you date someone who is bisexual?;Yes;No;;;
q27477;Do you often find yourself worrying about things that you have no control over?;Yes;No;;;
q74;Do you spend more money on clothes or food?;Clothes;Food;;;
q15704;What is your opinion of sarcasm?;I like it or love it.;It's okay.;Sarcasm is formulaic and lame.;;
q23696;When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?;Yes, frequently;Sometimes;Used to, but not any more;Never;
q35203;Would you consider being in a relationship with someone who has had homosexual sex?;Yes;No;I'm Not Sure / Depends how serious it was;;
q46403;Could you date someone who needs a great deal of alone time?;Yes.;No.;;;
q219;Gay marraige: should it be legal?;Yes;No;;;
q30169;Do you enjoy giving oral sex?;Love it!;It's okay.;Not so much.;Gross!;
q26557;You're dating someone new. You discover that they have a housemate the same sex as you. This:;Makes you feel uncomfortable;Doesn't faze you one bit;;;
q32973;Are you an adventurous eater? Do you like to try new foods and ethnic cuisines?;Yes, all the time.;Yes, if it's not too strange.;On rare occasions/I don't know.;No, yuck.;
q31920;How do you feel about age differences in relationships?;I prefer someone close to my own age;I prefer someone older;I prefer someone younger;Doesn't matter to me;
q57;Do you like to argue?;Yes;No;;;
q22021;Is your ideal match well-off financially (or at the very least someone who has high income potential)?;Yes, it's very important.;It's somewhat important.;It's not very important;It's not important at all.;
q61786;Would you consider dating someone whose religion or spirituality is the primary focus in their life?;Yes;No;;;
q46563;Assume you have a homosexual friend who is the same gender as you.  Would it bother you if they hugged you?;Yes.;No.;Only if I thought the hug was more than friendly.;;
q359387;Do you believe morality is universal, or relative?;Universal;Relative;;;
q1128;Would you date someone who was already in a committed relationship with someone else?;Yes, even in secret.;Yes, but only if everybody knew.;No, but I don't think it's inherently wrong.;No, it's wrong.;
q22122;How long would you have to talk to someone online before you felt comfortable to meet?;I'd meet right away if their profile were cool;A few days;A few weeks;A few months [or never];
q313640;Were you picked on a lot in school?;Yes;No;;;
q393;Is there a such thing as having had too many sex partners?;Yes;No;;;
q62254;If it were legal to do so where you live, would you smoke marijuana?;Yes.;No.;;;
q29384;Would you allow your partner to kiss you after performing oral sex on you?;Allow? I enjoy it.;Yes.;No.;It depends.;
q9668;Not as in whips and chains, but in general, do you prefer your partner to be...;Dominant;Submissive;Balanced;;
q55;Does the idea of flipping a coin to make important life decisions appeal to you?;Yes;No;;;
q21411;Do you enjoy intellectual debates on topics like politics, religion, science or philosophy?;I love to argue!;Sometimes.;It's usually boring or annoying.;I'm not smart enough.;
q23993;In terms of sex, how experienced would your ideal mate be (with people other than you)?;Innocent (Virgin);Slightly Experienced;Moderately Experienced;Very Experienced;
q34255;How do you feel about women openly displaying tattoos?;I Like It;I Don't Mind;I Dislike It;;
q20976;You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?;Yes, and it makes me uncomfortable.;I guess, but It doesn't change how I feel.;That seems like an average number.;No, that's nothing.;
q324;Orgasms are clearly the most important part of sex.;I agree.;I disagree.;;;
q48372;Do you believe in the power of prayer?;Yes;No;;;
q8054;Have you ever been in love?;Yes;No;;;
q86366;Could you have respect for someone after having sex with them on the first meeting/date?;Yes.;No.;Maybe, depending upon the circumstances.;;
q210;Do you believe in God?;Yes;No;;;
q29032;Which of the following types of intelligence do you most value?;Logical / Mathematical;Social / Interpersonal;Visual / Spatial / Artistic;;
q35778;Would you allow a pet to sleep on your bed?;Yes.;No.;Maybe.;;
q36045;Are you ready to settle down and get married right now?;Absolutely.;No way.;Get married yes, settle down no.;Get married no, settle down yes.;
q17017;Do you litter?;Often;Rarely;Never;;
q527;Is marriage a necessity for two people who love each other?;Yes;No;;;
q318;How important is money/wealth for you in a match?;Very important;Somewhat important;Not important at all;;
q455;Would the world be a better place if people with low IQs were not allowed to reproduce?;Yes;No;;;
q15030;Which would you prefer your ideal match to be more into?;Sports;Books;Music;Movies;
q614;If you could have brilliant skill at something, would you prefer:;something practical?;something fun?;;;
q53540;Regardless of your actual age, do you consider yourself to be an adult?;Yes.;No.;Only some of the time.;;
q301;Are you annoyed by people who are super logical?;Yes;No;;;
q24282;Outside of work and school, how inclined are you to investigate something that interests you?;Very inclined;Somewhat inclined;Not inclined;;
q1454;Do you enjoy outdoor activities such as camping, hiking or fishing?;Yes;No;;;
q66548;Which is closest to your reaction to foul language?;It doesn't bother me at all.;It's ok as long as it isn't every other word.;It bothers me a little.;It bothers me a lot.;
q1185;In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?;Yes;No;Some;I don't do serious relationships;
q37693;Would you be willing to date someone who plays video games almost every day, for at least 2 hours?;Yes, I'd be playing with them.;Yes, but I would not play that much.;Yes, but I don't like video games.;No.;
q136;Would you get upset if your girlfriend/boyfriend flirted in front of you?;Yes;No;;;
q979;How many children would you ideally like to have?;;1-2;3-4;5 or more!;
q1099;Are you smarter than most people?;Yes;No;;;
q59457;Are you okay with people who grow marijuana for their own personal use?;Yes.;No.;;;
q60843;If you were to get married, would you want your partner to change his or her last name to yours?;Yes.;No.;I would want them to make their own decision.;;
q39185;Which is more offensive: book burning or flag burning?;book burning;flag burning;;;
q45428;Do you say 'Thank you' to wait staff when served in a restaurant?;Always.;Most of the time.;Occasionally.;Never.;
q122;How much does physical attractiveness matter to you in a match?;A lot;A little;Not at all;;
q20889;What's your opinion of the phrase 'making love' when it refers to sex?;It's beautiful.;It's hokey and overly sentimental.;It refers to a very specific kind of sex.;It's no better or worse than any other.;
q594;Can anything be made the subject of a joke?;Yes, anything can be funny in the right light.;No, some subjects should not be joked about.;;;
q445141;Which superpower would you rather have?;Flight;Invisibility;;;
q1028;Is your ideal sex rough or gentle?;Rough;Gentle;I enjoy both equally;I'm a virgin;
q31877;When men show extra courtesy toward women (opening doors, pulling out chairs, etc.), this is:;Admirable and desirable. Chivalry's not dead.;Unnecessary but appreciated.;Sexist and insulting, women are perfectly capable.;;
q25228;Do you think drug use with your partner can be a romantic activity?;Yes;No;;;
q1052;How often do you get angry?;Very often;Sometimes;Rarely;;
q308;If you like someone a lot, do you usually ask them out?;Yes;No;;;
q37708;The idea of gay and lesbian couples having children is:;Acceptable.;Not acceptable.;;;
q18530;Do you want your partner to be kinkier than you?;Yes;No;Not possible;;
q18797;Would you - for any reason - read your mate's email or pose as him/her online, without his/her knowledge and permission?;Yes, they shouldn't be keeping secrets anyway.;Yes, I'd be too curious not to.;Only if I suspected them of something.;No, I'd trust them and that would be invasive.;
q65;Do you have a problem with racist jokes?;Yes;No;;;
q784;Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?;Yes;No;;;
q17;Would you date someone just for the sex?;Yes;No;;;
q63114;How do you think your sex drive compares to what is typical for other people of your age and gender?;My sex drive is higher than average.;My sex drive is about average.;My sex drive is below average.;I'm insatiable.;
q1766;Is art important to you?;Yes;No;;;
q8155;On average, which best describes how often you GET WICKED DRUNK?;Twice a week or more;Weekly / Bi-Weekly;Once every month or three.;Seldom or never.;
q19931;Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...;Incredibly hot!;Just having some girlish fun.;Profoundly annoying.;;
q1707;Which of the following best describes your typical demeanor?;Cheerful!  I have a positive outlook.;Meh. I have my ups and downs.;Annoyed. The world sucks.;;
q85835;Which is worse: starving children or abused animals?;Starving children.;Abused animals.;Neither, both are good.;Neither, they are equally bad.;
q19265;A college-level education is...;Necessary;Nice, but not mandatory;Unnecessary;;
